MatchId,HomeTeam,AwayTeam,Season,Round,HomeScore,AwayScore
379,bristol,newcastle,20/21,5,29,17
380,harlequins,london-irish,20/21,6,27,27
381,exeter-chiefs,bristol,20/21,6,7,20
382,newcastle,gloucester,20/21,6,22,10
383,sale,worcester,20/21,6,20,13
384,bath,wasps,20/21,6,44,52
385,wasps,harlequins,20/21,7,17,49
386,london-irish,newcastle,20/21,7,31,22
387,gloucester,northampton,20/21,7,26,31
388,worcester,exeter-chiefs,20/21,7,17,21
389,bristol,bath,20/21,7,48,3
390,leicester,sale,20/21,7,15,25
391,newcastle,exeter-chiefs,20/21,8,9,15
392,leicester,worcester,20/21,8,41,24
393,london-irish,gloucester,20/21,8,32,26
394,bath,harlequins,20/21,8,15,28
395,wasps,northampton,20/21,8,17,22
396,bristol,sale,20/21,8,13,20
397,worcester,wasps,20/21,9,13,17
398,exeter-chiefs,london-irish,20/21,9,26,3
399,harlequins,leicester,20/21,9,37,24
400,sale,bath,20/21,9,22,27
401,gloucester,bristol,20/21,9,17,18
402,london-irish,bristol,20/21,10,34,34
403,exeter-chiefs,northampton,20/21,10,12,13
404,leicester,wasps,20/21,10,27,8
405,harlequins,sale,20/21,10,24,12
406,bath,gloucester,20/21,10,16,14
407,northampton,bath,20/21,11,22,23
408,gloucester,worcester,20/21,11,22,14
409,newcastle,harlequins,20/21,11,25,22
410,wasps,london-irish,20/21,11,10,16
411,bristol,leicester,20/21,11,17,3
412,sale,exeter-chiefs,20/21,11,25,20
413,harlequins,northampton,20/21,12,37,19
414,worcester,bristol,20/21,12,23,24
415,bath,exeter-chiefs,20/21,12,16,38
416,wasps,gloucester,20/21,12,19,20
417,sale,newcastle,20/21,12,31,16
418,leicester,london-irish,20/21,12,33,32
419,london-irish,worcester,20/21,13,20,17
420,gloucester,leicester,20/21,13,14,20
421,northampton,sale,20/21,13,17,14
422,exeter-chiefs,harlequins,20/21,13,21,20
423,newcastle,bath,20/21,13,19,38
424,bristol,wasps,20/21,13,37,20
425,northampton,bristol,20/21,14,21,28
426,sale,london-irish,20/21,14,41,13
427,exeter-chiefs,leicester,20/21,14,47,31
428,bath,worcester,20/21,14,47,22
429,harlequins,gloucester,20/21,14,59,24
430,newcastle,wasps,20/21,14,18,20
431,leicester,newcastle,20/21,15,26,12
432,wasps,sale,20/21,15,19,20
433,london-irish,bath,20/21,15,36,33
434,worcester,northampton,20/21,15,14,62
435,bristol,harlequins,20/21,15,35,33
436,gloucester,exeter-chiefs,20/21,15,34,18
437,bath,leicester,20/21,16,21,20
438,harlequins,worcester,20/21,16,50,26
439,newcastle,bristol,20/21,16,17,34
440,exeter-chiefs,wasps,20/21,16,43,13
441,sale,gloucester,20/21,16,25,22
442,northampton,london-irish,20/21,16,44,26
443,wasps,bath,20/21,17,39,29
444,gloucester,newcastle,20/21,17,35,24
445,leicester,northampton,20/21,17,18,23
446,worcester,sale,20/21,17,32,35
447,london-irish,harlequins,20/21,17,21,25
448,bristol,exeter-chiefs,20/21,17,12,20
449,harlequins,wasps,20/21,18,48,46
450,bath,bristol,20/21,18,20,40
451,exeter-chiefs,worcester,20/21,18,41,10
452,newcastle,london-irish,20/21,18,25,27
453,northampton,gloucester,20/21,18,7,31
454,sale,leicester,20/21,18,26,10
455,london-irish,exeter-chiefs,20/21,19,12,30
456,bristol,gloucester,20/21,19,39,7
457,newcastle,northampton,20/21,19,18,10
458,leicester,harlequins,20/21,19,35,29
459,wasps,worcester,20/21,19,23,19
460,bath,sale,20/21,19,20,24
461,exeter-chiefs,newcastle,20/21,20,74,3
462,northampton,wasps,20/21,20,30,25
463,worcester,leicester,20/21,20,17,18
464,harlequins,bath,20/21,20,44,33
465,gloucester,london-irish,20/21,20,30,28
466,sale,bristol,20/21,20,22,12
467,northampton,exeter-chiefs,20/21,21,26,29
468,london-irish,wasps,20/21,21,36,39
469,leicester,bristol,20/21,21,23,26
470,newcastle,worcester,20/21,21,24,14
471,sale,harlequins,20/21,21,45,12
472,bath,northampton,20/21,22,30,24
473,exeter-chiefs,sale,20/21,22,20,19
474,harlequins,newcastle,20/21,22,54,26
475,wasps,leicester,20/21,22,31,38
476,exeter-chiefs,sale,20/21,SF,40,30
477,bristol,harlequins,20/21,SF,36,43
478,exeter-chiefs,harlequins,20/21,F,38,40
479,newcastle,harlequins,21/22,1,20,26
480,sale,bath,21/22,1,20,19
481,leicester,exeter-chiefs,21/22,1,34,19
482,northampton,gloucester,21/22,1,34,20
483,worcester,london-irish,21/22,1,36,24
484,bristol,saracens,21/22,1,9,26
485,london-irish,sale,21/22,2,31,31
486,bath,newcastle,21/22,2,13,20
487,exeter-chiefs,northampton,21/22,2,24,26
488,harlequins,worcester,21/22,2,35,29
489,wasps,bristol,21/22,2,44,8
490,gloucester,leicester,21/22,2,26,33
491,sale,exeter-chiefs,21/22,3,15,25
492,leicester,saracens,21/22,3,13,12
493,newcastle,wasps,21/22,3,18,14
494,worcester,gloucester,21/22,3,23,31
495,northampton,london-irish,21/22,3,23,21
496,bristol,bath,21/22,3,25,20
497,wasps,northampton,21/22,4,26,20
498,exeter-chiefs,worcester,21/22,4,42,5
499,gloucester,sale,21/22,4,33,32
500,london-irish,leicester,21/22,4,16,21
501,saracens,newcastle,21/22,4,37,23
502,harlequins,bristol,21/22,4,52,24
503,bath,saracens,21/22,5,17,71
504,london-irish,gloucester,21/22,5,25,25
505,newcastle,bristol,21/22,5,13,5
506,wasps,exeter-chiefs,21/22,5,23,27
507,worcester,leicester,21/22,5,3,48
508,sale,harlequins,21/22,5,28,22
509,saracens,wasps,21/22,6,56,15
510,exeter-chiefs,london-irish,21/22,6,21,33
511,gloucester,newcastle,21/22,6,29,20
512,harlequins,bath,21/22,6,31,17
513,leicester,sale,21/22,6,19,11
514,northampton,worcester,21/22,6,66,10
515,harlequins,saracens,21/22,7,22,29
516,bath,wasps,21/22,7,17,27
517,london-irish,bristol,21/22,7,33,45
518,northampton,leicester,21/22,7,26,55
519,worcester,sale,21/22,7,27,14
520,gloucester,exeter-chiefs,21/22,7,13,16
521,wasps,harlequins,21/22,8,16,26
522,exeter-chiefs,newcastle,21/22,8,14,15
523,sale,northampton,21/22,8,30,6
524,bristol,worcester,21/22,8,27,5
525,saracens,london-irish,21/22,8,34,34
526,leicester,bath,21/22,8,40,23
527,saracens,sale,21/22,9,25,14
528,newcastle,worcester,21/22,9,24,24
529,harlequins,london-irish,21/22,9,19,22
530,bath,exeter-chiefs,21/22,9,16,23
531,bristol,northampton,21/22,9,20,36
532,wasps,gloucester,21/22,9,33,35
533,leicester,harlequins,21/22,10,16,14
534,exeter-chiefs,saracens,21/22,10,18,15
535,london-irish,newcastle,21/22,10,43,21
536,northampton,bath,21/22,10,40,19
537,worcester,wasps,21/22,10,32,31
538,gloucester,bristol,21/22,10,27,10
539,harlequins,northampton,21/22,11,41,27
540,bath,gloucester,21/22,11,20,40
541,newcastle,sale,21/22,11,20,0
542,saracens,worcester,21/22,11,61,29
543,wasps,london-irish,21/22,11,38,30
544,bristol,leicester,21/22,11,26,28
545,london-irish,bath,21/22,12,20,0
546,gloucester,harlequins,21/22,12,17,20
547,leicester,newcastle,21/22,12,31,0
548,northampton,saracens,21/22,12,6,30
549,exeter-chiefs,bristol,21/22,12,19,13
550,sale,wasps,21/22,12,26,18
551,bath,worcester,21/22,13,22,19
552,wasps,leicester,21/22,13,16,13
553,harlequins,exeter-chiefs,21/22,13,14,12
554,newcastle,northampton,21/22,13,8,44
555,saracens,gloucester,21/22,13,24,25
556,bristol,sale,21/22,13,32,15
557,sale,leicester,21/22,14,35,26
558,wasps,saracens,21/22,14,26,20
559,newcastle,gloucester,21/22,14,22,32
560,london-irish,exeter-chiefs,21/22,14,18,14
561,worcester,northampton,21/22,14,13,19
562,bath,harlequins,21/22,14,21,17
563,harlequins,sale,21/22,15,14,36
564,leicester,worcester,21/22,15,36,16
565,saracens,bath,21/22,15,40,3
566,exeter-chiefs,wasps,21/22,15,26,27
567,bristol,newcastle,21/22,15,37,21
568,gloucester,london-irish,21/22,15,24,7
569,saracens,harlequins,21/22,16,19,10
570,exeter-chiefs,gloucester,21/22,16,24,15
571,sale,worcester,21/22,16,36,12
572,wasps,bath,21/22,16,41,24
573,bristol,london-irish,21/22,16,32,49
574,leicester,northampton,21/22,16,35,20
575,newcastle,exeter-chiefs,21/22,17,14,15
576,bath,leicester,21/22,17,20,24
577,harlequins,wasps,21/22,17,29,24
578,london-irish,saracens,21/22,17,23,30
579,northampton,sale,21/22,17,21,22
580,worcester,bristol,21/22,17,19,14
581,northampton,exeter-chiefs,21/22,18,31,34
582,leicester,gloucester,21/22,18,35,23
583,newcastle,bath,21/22,18,25,30
584,bristol,wasps,21/22,18,31,19
585,sale,london-irish,21/22,18,27,27
586,worcester,harlequins,21/22,18,21,29
587,exeter-chiefs,sale,21/22,19,19,12
588,bath,bristol,21/22,19,29,27
589,gloucester,northampton,21/22,19,35,30
590,london-irish,worcester,21/22,19,43,12
591,saracens,leicester,21/22,19,34,27
592,harlequins,newcastle,21/22,19,24,10
593,bristol,harlequins,21/22,20,29,38
594,northampton,wasps,21/22,20,27,22
595,leicester,london-irish,21/22,20,47,28
596,newcastle,saracens,21/22,20,21,36
597,sale,gloucester,21/22,20,26,24
598,worcester,exeter-chiefs,21/22,20,35,31
599,exeter-chiefs,leicester,21/22,21,17,22
600,bath,sale,21/22,21,24,24
601,london-irish,northampton,21/22,21,22,42
602,saracens,bristol,21/22,21,27,23
603,wasps,newcastle,21/22,21,27,24
604,gloucester,worcester,21/22,21,20,0
605,london-irish,harlequins,21/22,22,14,41
606,exeter-chiefs,bath,21/22,22,42,22
607,gloucester,wasps,21/22,22,21,27
608,northampton,bristol,21/22,22,39,22
609,worcester,newcastle,21/22,22,10,45
610,sale,saracens,21/22,22,12,18
611,saracens,exeter-chiefs,21/22,23,38,22
612,bath,northampton,21/22,23,31,36
613,harlequins,leicester,21/22,23,26,20
614,wasps,worcester,21/22,23,41,12
615,bristol,gloucester,21/22,23,29,28
616,newcastle,london-irish,21/22,23,14,42
617,london-irish,wasps,21/22,24,42,42
618,gloucester,bath,21/22,24,64,0
619,leicester,bristol,21/22,24,56,26
620,worcester,saracens,21/22,24,16,38
621,northampton,harlequins,21/22,24,32,31
622,sale,newcastle,21/22,24,35,27
623,saracens,northampton,21/22,25,42,38
624,bath,london-irish,21/22,25,27,24
625,harlequins,gloucester,21/22,25,28,24
626,newcastle,leicester,21/22,25,5,27
627,bristol,exeter-chiefs,21/22,25,40,33
628,wasps,sale,21/22,25,7,16
629,exeter-chiefs,harlequins,21/22,26,47,38
630,gloucester,saracens,21/22,26,54,7
631,leicester,wasps,21/22,26,20,10
632,northampton,newcastle,21/22,26,65,26
633,sale,bristol,21/22,26,42,19
634,worcester,bath,21/22,26,43,27
635,leicester,northampton,21/22,SF,27,14
636,saracens,harlequins,21/22,SF,34,17
637,leicester,saracens,21/22,F,15,12
638,gloucester,wasps,22/23,1,27,21
639,sale,northampton,22/23,1,29,22
640,bristol,bath,22/23,1,31,29
641,exeter-chiefs,leicester,22/23,1,24,20
642,london-irish,worcester,22/23,1,45,14
643,newcastle,harlequins,22/23,1,31,40
644,worcester,exeter-chiefs,22/23,2,21,36
645,bath,sale,22/23,2,20,37
646,harlequins,saracens,22/23,2,27,30
647,leicester,newcastle,22/23,2,36,21
648,wasps,bristol,22/23,2,8,23
649,northampton,london-irish,22/23,2,38,22
650,exeter-chiefs,harlequins,22/23,3,43,42
651,bristol,london-irish,22/23,3,40,36
652,northampton,leicester,22/23,3,21,41
653,saracens,gloucester,22/23,3,41,39
654,worcester,newcastle,22/23,3,39,5
655,bath,wasps,22/23,3,31,39
656,harlequins,northampton,22/23,4,35,29
657,london-irish,bath,22/23,4,47,38
658,sale,exeter-chiefs,22/23,4,28,20
659,saracens,leicester,22/23,4,51,18
660,newcastle,bristol,22/23,4,30,15
661,newcastle,saracens,22/23,5,14,34
662,wasps,northampton,22/23,5,36,40
663,bath,gloucester,22/23,5,17,21
664,leicester,sale,22/23,5,16,26
665,bristol,exeter-chiefs,22/23,5,14,50
666,harlequins,leicester,22/23,6,19,27
667,gloucester,bristol,22/23,6,31,28
668,northampton,newcastle,22/23,6,32,31
669,saracens,bath,22/23,6,37,31
670,sale,london-irish,22/23,6,37,14
671,sale,harlequins,22/23,7,13,29
672,bath,northampton,22/23,7,27,14
673,exeter-chiefs,saracens,22/23,7,20,22
674,london-irish,gloucester,22/23,7,21,22
675,saracens,sale,22/23,8,33,22
676,harlequins,london-irish,22/23,8,26,24
677,northampton,bristol,22/23,8,45,31
678,gloucester,exeter-chiefs,22/23,8,38,22
679,bristol,saracens,22/23,9,10,25
680,newcastle,bath,22/23,9,10,17
681,sale,gloucester,22/23,9,27,17
682,northampton,exeter-chiefs,22/23,9,26,19
683,saracens,northampton,22/23,10,45,39
684,exeter-chiefs,london-irish,22/23,10,22,17
